mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf__criterion,param_clf__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0281771183013917,0.03937133180504121,0.06523947715759278,0.0014902822890136428,200,5,1,log2,30,entropy,True,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': 'log2', 'clf__max_depth': 30, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.5768442084231558,0.5720535526038373,0.5385807990459153,0.5166015018928816,0.569953567937439,0.5548067259806458,0.023389956540044818,26
1.0414032459259033,0.04876111049428469,0.06978626251220703,0.007342831354726488,200,5,4,sqrt,,entropy,True,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': None, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.5950628319049371,0.6053658022348725,0.5431127012522361,0.5244833364364179,0.5689149560117301,0.5673879255680387,0.030465198712593452,8
0.9232872009277344,0.14136571818249172,0.07130260467529297,0.006432144206648078,200,10,2,sqrt,10,gini,False,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': 10, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.6172774593827226,0.5615380560826482,0.5482110912343471,0.5607273629988209,0.5811033724340177,0.5737714684265113,0.02416470985402731,3
1.1289940357208252,0.08904160100482397,0.04467587471008301,0.002030997895617476,100,5,1,,,entropy,False,"{'clf__n_estimators': 100, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': None, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.4964772070035228,0.5482553236348302,0.5681872391174717,0.47982995097126546,0.499358504398827,0.5184216450251834,0.0337666796570822,46
0.6281906604766846,0.11405657983750601,0.045130157470703126,0.0008672686862671655,100,10,4,sqrt,20,entropy,False,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': 'sqrt', 'clf__max_depth': 20, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.579183973920816,0.5537107316044698,0.5542933810375671,0.5225904549121827,0.5688233137829912,0.5557203710516053,0.01910965233822339,24
3.7292377948760986,0.09514201805556802,0.17248477935791015,0.014405185212217907,500,5,2,sqrt,,entropy,False,"{'clf__n_estimators': 500, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 2, 'clf__max_features': 'sqrt', 'clf__max_depth': None, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.5551553709448447,0.532258064516129,0.5412045319022063,0.5346924843294234,0.5526026392961876,0.5431826181977583,0.009245806373436721,39
1.3734705448150635,0.3026337413542049,0.07106704711914062,0.004109528257463622,200,2,4,,10,entropy,True,"{'clf__n_estimators': 200, 'clf__min_samples_split': 2, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': 10, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.5832588464167411,0.5911343031836391,0.5405485986881337,0.5146155278346677,0.562408357771261,0.5583931267788885,0.02807602563576326,16
1.4580055713653564,0.4229062426685946,0.07585515975952148,0.009471793358335338,200,10,1,,30,entropy,True,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': None, 'clf__max_depth': 30, 'clf__criterion': 'entropy', 'clf__bootstrap': True}",0.5828645039171355,0.5774826059456041,0.5486583184257603,0.51976664804816,0.5523582600195504,0.556226067271242,0.022640524503469015,23
3.9773099422454834,0.1350676148671652,0.16032028198242188,0.005738255073010068,500,10,4,,20,gini,False,"{'clf__n_estimators': 500, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': 20, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.5671170934328829,0.4599936748893106,0.5005366726296959,0.4905355923788246,0.4917521994134897,0.5019870465488407,0.035336546954817964,50
1.4604002475738525,0.08604712209611062,0.07605233192443847,0.006166773529759494,200,5,4,,,gini,True,"{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': None, 'clf__criterion': 'gini', 'clf__bootstrap': True}",0.5837846364162154,0.5829116592873709,0.5450805008944544,0.5094644076211755,0.5417888563049853,0.5526060121048403,0.0280192115560122,29
1.3521083831787108,0.054229572778535934,0.07497820854187012,0.005290320681477725,200,10,1,sqrt,10,gini,False,"{'clf__n_estimators': 200, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 1, 'clf__max_features': 'sqrt', 'clf__max_depth': 10, 'clf__criterion': 'gini', 'clf__bootstrap': False}",0.6178295388821704,0.5550548176259751,0.5483601669648182,0.5632408614162477,0.5833027859237536,0.573557634162593,0.02505462792865943,4
0.7215212821960449,0.12339768261405432,0.04675278663635254,0.00232515379185698,100,10,4,,10,entropy,False,"{'clf__n_estimators': 100, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 4, 'clf__max_features': None, 'clf__max_depth': 10, 'clf__criterion': 'entropy', 'clf__bootstrap': False}",0.5396708554603292,0.5093295382669197,0.5269230769230768,0.5377955687953826,0.5001221896383187,0.5227682458168055,0.015634730514057418,42
