mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate_init,param_clf__hidden_layer_sizes,param_clf__batch_size,param_clf__alpha,param_clf__activation,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.44660463333129885,0.08190826990612468,0.006704807281494141,0.0003932954788670045,0.001,"(64,)",32,0.01,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (64,), 'clf__batch_size': 32, 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.6720647773279352,0.650853889943074,0.5875372689326177,0.6202445230559176,0.604044477028348,0.6269489872575785,0.03075623142218123,9
0.3940776824951172,0.07499671900507163,0.008261966705322265,0.001172358681514419,0.0001,"(64, 32)",64,0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64, 32), 'clf__batch_size': 64, 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6573426573426573,0.6398376554923044,0.5518783542039356,0.624775026376218,0.5665322580645161,0.6080731902959263,0.04147028240751218,37
0.4807032585144043,0.22281728605460538,0.006665945053100586,0.0003994859069421106,0.0001,"(64,)",64,0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__batch_size': 64, 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.4907723855092276,0.5569259962049335,0.5031604054859868,0.6274436790169428,0.6092375366568915,0.5575080005747964,0.054725836972376374,46
0.6104006767272949,0.1747576804635253,0.009250164031982422,0.0010532598223785996,0.001,"(128, 64)",64,0.01,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128, 64), 'clf__batch_size': 64, 'clf__alpha': 0.01, 'clf__activation': 'tanh'}",0.6749040433250959,0.6553341766814254,0.5872391174716756,0.6361323155216285,0.603494623655914,0.6314208553311479,0.03230087555812416,7
0.46887879371643065,0.0714144576844315,0.006402063369750977,0.00105977841407621,0.0001,"(64,)",32,0.01,relu,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64,), 'clf__batch_size': 32, 'clf__alpha': 0.01, 'clf__activation': 'relu'}",0.49008885850991113,0.5553974277883197,0.5469290399522957,0.6090113572891455,0.570869990224829,0.5544593347529002,0.03859112941049974,48
0.6688275337219238,0.13582347885462492,0.009595823287963868,0.0018476763152989238,0.0001,"(128, 64)",64,0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (128, 64), 'clf__batch_size': 64, 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6680161943319838,0.6469006957621759,0.5857483601669647,0.6001365357165023,0.610948191593353,0.6223499955141959,0.030500023724766765,19
0.5175308227539063,0.07306063403055112,0.007284307479858398,0.0003182227212550721,0.0001,"(64, 32)",32,0.001,tanh,"{'clf__learning_rate_init': 0.0001, 'clf__hidden_layer_sizes': (64, 32), 'clf__batch_size': 32, 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6530837583469162,0.6416824794433902,0.563387000596303,0.6268851238130702,0.5704423264907137,0.6110961377380786,0.03708549797516861,27
0.21194005012512207,0.04469097724611529,0.006450033187866211,0.0005400620394198783,0.001,"(128,)",64,0.01,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__batch_size': 64, 'clf__alpha': 0.01, 'clf__activation': 'relu'}",0.6639150323360848,0.6464790217162133,0.5775790101371496,0.6263886302985168,0.60202834799609,0.6232780084968109,0.030787261038897486,15
0.47312536239624026,0.1915810331687091,0.019315242767333984,0.014213171108812943,0.001,"(64,)",32,0.0001,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (64,), 'clf__batch_size': 32, 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.6489825963510173,0.6460573476702509,0.5719141323792487,0.6170173152113201,0.591275659824047,0.6150494102871769,0.030141895621422644,25
0.29806089401245117,0.03539388495901549,0.008905982971191407,0.005107706594420502,0.001,"(128,)",64,0.0001,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__batch_size': 64, 'clf__alpha': 0.0001, 'clf__activation': 'relu'}",0.6624953993375046,0.6466898587391945,0.5775790101371496,0.6168311301433625,0.60202834799609,0.6211247492706602,0.03047767908691503,21
0.4211833953857422,0.10307791819644593,0.010094547271728515,0.00539416079219583,0.001,"(64,)",32,0.001,tanh,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (64,), 'clf__batch_size': 32, 'clf__alpha': 0.001, 'clf__activation': 'tanh'}",0.6722225143277775,0.6508011806873288,0.5875372689326177,0.6202445230559176,0.6028225806451613,0.6267256135297605,0.0309796280909244,10
0.38137359619140626,0.08768802228700052,0.007027816772460937,0.00031434103686028386,0.001,"(128, 64)",64,0.001,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128, 64), 'clf__batch_size': 64, 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.6643882433356118,0.6601834282099937,0.5753726893261777,0.6324706758517967,0.5883431085043989,0.6241516290455957,0.03646400231409253,14
0.2810157299041748,0.022099907362377776,0.006499481201171875,0.00018994761363139685,0.001,"(128,)",32,0.001,relu,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128,), 'clf__batch_size': 32, 'clf__alpha': 0.001, 'clf__activation': 'relu'}",0.6624953993375045,0.6590238245835969,0.5783542039355993,0.612238565133743,0.6012952101661779,0.6226814406313244,0.03297650252660819,17
