mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__solver,param_clf__penalty,param_clf__max_iter,param_clf__l1_ratio,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.022411012649536134,0.008720221868124019,0.013640594482421876,0.009594442930060563,saga,elasticnet,500,0.9,0.1,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 500, 'clf__l1_ratio': 0.9, 'clf__C': 0.1}",0.6557652873442348,0.6572317098882563,0.5777579010137149,0.6260162601626016,0.609481915933529,0.6252506148684673,0.029862121904093413,42
0.010538721084594726,0.0017731177680219336,0.00830683708190918,0.003348299423757874,liblinear,l1,500,,0.1,"{'clf__solver': 'liblinear', 'clf__penalty': 'l1', 'clf__max_iter': 500, 'clf__C': 0.1}",0.6554498133445501,0.6588129875606157,0.5775790101371496,0.6258300750946441,0.6095430107526881,0.6254429793779295,0.030192336536521182,41
0.009766292572021485,0.00207117742477973,0.008777999877929687,0.0017634183239705545,liblinear,l1,500,,0.01,"{'clf__solver': 'liblinear', 'clf__penalty': 'l1', 'clf__max_iter': 500, 'clf__C': 0.01}",0.6474578053525423,0.6514336917562724,0.5765056648777579,0.6018122013281201,0.5995234604105572,0.61534656474505,0.02924235843997248,44
0.01764340400695801,0.002190058123212677,0.007125043869018554,0.0022035587414880827,saga,elasticnet,500,0.5,1.0,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 500, 'clf__l1_ratio': 0.5, 'clf__C': 1}",0.6604448183395552,0.6541218637992832,0.5830649970184854,0.6323465524731583,0.6132697947214076,0.6286496052703779,0.02824157937969702,32
0.01690645217895508,0.0016354798379127817,0.006131982803344727,0.0013730357068548627,saga,elasticnet,500,0.1,0.01,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 500, 'clf__l1_ratio': 0.1, 'clf__C': 0.01}",0.659182922340817,0.6583386042589079,0.5781156827668454,0.6222925588034507,0.6093597262952102,0.6254578988930463,0.03075377686893666,37
0.01315608024597168,0.0018942393986476243,0.005442094802856445,0.0002227668379574513,saga,elasticnet,200,0.9,0.01,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 200, 'clf__l1_ratio': 0.9, 'clf__C': 0.01}",0.6474578053525423,0.6514336917562724,0.5765056648777579,0.6018122013281201,0.5995234604105572,0.61534656474505,0.02924235843997248,44
0.00811142921447754,0.00032938516517729894,0.00701298713684082,0.0011741301813382613,liblinear,l2,100,,0.01,"{'clf__solver': 'liblinear', 'clf__penalty': 'l2', 'clf__max_iter': 100, 'clf__C': 0.01}",0.6637572953362427,0.6539637360320473,0.5834824090638044,0.6311053186867747,0.6129643206256109,0.629054615948896,0.02886059336072316,1
0.01221017837524414,0.0008641296921643676,0.005417728424072265,0.00043958255977626933,saga,l2,200,,1.0,"{'clf__solver': 'saga', 'clf__penalty': 'l2', 'clf__max_iter': 200, 'clf__C': 1}",0.6610231873389769,0.6536474804975754,0.583422778771616,0.6324086141624775,0.6139418377321604,0.6288887797005612,0.02810185392014137,13
0.011982345581054687,0.0007253153007020424,0.005434608459472657,0.000426229919315202,saga,elasticnet,500,0.9,10.0,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 500, 'clf__l1_ratio': 0.9, 'clf__C': 10}",0.6607077133392922,0.6535420619860847,0.5833035181872391,0.6326568609197541,0.6138196480938417,0.6288059605052424,0.028069513002377287,28
0.012185478210449218,0.0011066874414401122,0.006598520278930664,0.0019258097664459444,saga,l1,500,,0.1,"{'clf__solver': 'saga', 'clf__penalty': 'l1', 'clf__max_iter': 500, 'clf__C': 0.1}",0.6554498133445501,0.6588129875606157,0.5776386404293381,0.6257680134053248,0.6096041055718474,0.6254547120623352,0.030166860079926226,38
0.011629772186279298,0.0007117302379671175,0.005576133728027344,0.000644955687088308,saga,elasticnet,100,0.5,1.0,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 100, 'clf__l1_ratio': 0.5, 'clf__C': 1}",0.6604448183395552,0.6541218637992832,0.5830649970184854,0.6323465524731583,0.6132697947214076,0.6286496052703779,0.02824157937969702,32
0.011874723434448241,0.0005955134373692852,0.004916048049926758,0.0005189819836580041,saga,elasticnet,200,0.1,1.0,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 200, 'clf__l1_ratio': 0.1, 'clf__C': 1}",0.6607077133392922,0.6534893527303394,0.5833631484794275,0.6324086141624775,0.6138807429130011,0.6287699143249075,0.02802775619756418,29
0.007112455368041992,0.0003437838306068416,0.005568313598632813,0.00028407436731498945,liblinear,l1,100,,0.01,"{'clf__solver': 'liblinear', 'clf__penalty': 'l1', 'clf__max_iter': 100, 'clf__C': 0.01}",0.6474578053525423,0.6514336917562724,0.5765056648777579,0.6018122013281201,0.5995234604105572,0.61534656474505,0.02924235843997248,44
0.012563800811767578,0.0008702377501665099,0.007043266296386718,0.0020796694420622728,saga,elasticnet,500,0.1,1.0,"{'clf__solver': 'saga', 'clf__penalty': 'elasticnet', 'clf__max_iter': 500, 'clf__l1_ratio': 0.1, 'clf__C': 1}",0.6607077133392922,0.6534893527303394,0.5833631484794275,0.6324086141624775,0.6138807429130011,0.6287699143249075,0.02802775619756418,29
